JFK – John F. Kennedy International Airport (New York, USA)
LGA – LaGuardia Airport (New York, USA)
EWR – Newark Liberty International Airport (New Jersey, USA)
ORD – O’Hare International Airport (Chicago, USA)
DFW – Dallas/Fort Worth International Airport (Dallas, USA)
ATL – Hartsfield-Jackson Atlanta International Airport (Atlanta, USA)
SFO – San Francisco International Airport (San Francisco, USA)
LHR – London Heathrow Airport (London, UK)
DXB – Dubai International Airport (Dubai, UAE)
SIN – Singapore Changi Airport (Singapore)
